is_mt,latitude,longitude
0,40.7257899,-73.791744
0,40.7862557,-73.8135214
0,40.7210636,-73.7594419
1,40.7616096,-73.9707499
1,40.7649883,-73.9611495
1,40.7514468,-74.0014293
0,40.6647513,-73.8940407
0,40.75134,-73.93746
0,40.601948,-73.757774
0,40.734135,-73.86918
1,40.7131354,-74.0040581
0,40.670658,-73.9579745
0,40.6971174,-73.9340084
0,40.7315183,-73.7715348
1,40.7341384,-73.9991845
1,40.7496708,-73.9952973
0,40.665497,-73.75573
0,40.7004732,-73.8896922
0,40.76336,-73.81525
0,40.6770502,-73.9386934
0,40.654313,-73.9175769
0,40.7339067,-73.8783502
1,40.7606005,-73.9643142
1,40.7394976,-73.9826643
1,40.8101738,-73.9511673
0,40.6675534,-73.8967038
1,40.7495397,-73.9774357
0,40.635994,-73.967865
0,40.6735105,-73.8160609
0,40.6446366,-73.9431086
0,40.7124905,-73.938466
0,40.5588868,-74.1976949
0,40.670452,-73.73748
1,40.7986223,-73.9416189
0,40.66349,-73.87921
0,40.7002788,-73.8035339
1,40.8039907,-73.9603176
0,40.6193973,-73.9695659
1,40.7667698,-73.9711844
0,40.5873051,-73.9603492
0,40.753265,-73.94668
0,40.6921331,-73.8280429
0,40.6913744,-73.8098815
0,40.759386,-73.9075925
0,40.6351664,-73.9847992
0,40.5972467,-73.748167
1,40.7714641,-73.9943462
0,40.6019498,-73.9938096
0,40.760693,-73.82101
0,40.6844549,-73.8596479
0,40.658409,-73.9604835
0,40.6385252,-73.9260638
0,40.7363711,-73.7933239
0,40.6928313,-73.8546791
0,40.6094024,-74.0901074
1,40.7440655,-73.987748
0,40.7590433,-73.8079413
1,40.765868,-73.9574126
1,40.8090105,-73.9405044
0,40.653777,-73.9561651
1,40.7398611,-73.9950165
1,40.802696,-73.949196
0,40.6811745,-73.8345429
0,40.6855608,-73.8787485
0,40.6835142,-73.9759509
0,40.6817598,-73.8239017
0,40.6938007,-73.9872271
0,40.6972488,-73.8430103
0,40.7372519,-73.9179831
0,40.6457669,-73.9852832
1,40.7223002,-73.9971211
1,40.80322,-73.95253
1,40.8108433,-73.9506791
0,40.7163385,-73.9638509
0,40.6840924,-73.8016851
0,40.6683725,-73.9226314
0,40.6340467,-73.9859631
1,40.8716,-73.91507
0,40.588514,-73.9493455
1,40.7974839,-73.9487856
1,40.7616096,-73.9707499
0,40.7264896,-73.8106941
0,40.720888,-73.9408681
0,40.5737585,-74.1277151
0,40.6792956,-73.9064236
0,40.6806417,-73.9533713
0,40.7034369,-73.9603414
0,40.7460347,-73.9344002
0,40.61879,-73.99426
0,40.6641936,-73.8411164
1,40.7577322,-73.9968524
1,40.754215,-73.990486
0,40.622374,-73.9647195
0,40.6894282,-73.942223
0,40.6372173,-73.9327345
0,40.633995,-73.94778
0,40.7037281,-73.821539
1,40.8473568,-73.9351714
1,40.7250834,-73.9953279
0,40.6397179,-73.9908227
